dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,4,2,4,4,4,4,0,0,0,4,4,0,Generic,1
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,Generic,1
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,2,7,7,4,7,0,0,0,7,8,0,Generic,1
0.612164,10,6,986,268,24.503237,11604.7334,2927.320068,2,1,64.266444,106.657203,3737.640436,182.250828,255,2801227576,2005000522,255,0.157025,0.078867,0.078158,99,45,0,0,1,1,1,1,1,1,0,0,0,4,1,0,Reconnaissance,1
3.653385,10,8,878,354,4.653219,1732.092285,678.82251,2,1,405.923111,510.885156,26164.84132,789.199438,255,1574081804,2463315584,255,0.167881,0.077184,0.090697,88,44,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Normal,0
1.981753,18,20,1006,6282,18.670339,3839.025391,24091.80078,6,8,116.573706,100.197365,6813.583071,6214.347677,255,3714726879,2293239541,255,0.159915,0.077224,0.082691,56,314,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Exploits,1
48.075809,12,4,1996,172,0.312007,304.519043,21.466097,6,3,4370.527545,15424.707,438588.8631,21813.816,255,1779873190,3060211945,255,0.987805,0.91515,0.072655,166,43,0,0,5,3,3,2,2,5,0,0,0,2,5,0,Normal,0
1.1e-05,2,0,104,0,90909.0902,37818180.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,5,1,1,1,0,0,0,1,4,0,Fuzzers,1
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,4,4,4,45,0,0,0,4,45,0,Generic,1
0.893292,10,10,802,6262,21.269641,6465.970703,50473.97656,2,3,99.254667,90.737778,5169.664774,5549.204059,255,1084980198,1014183690,255,0.179077,0.076364,0.102713,80,626,1,2687,2,1,2,1,1,3,0,0,1,3,1,0,Exploits,1
0.851269,10,14,798,7074,27.018486,6756.971191,61733.71875,2,4,94.585444,62.017614,5746.447155,5407.023141,255,2723133093,2412089797,255,0.075688,0.044294,0.031394,80,505,1,3012,1,1,1,1,1,1,0,0,1,3,1,0,Exploits,1
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,40,2,38,38,22,40,0,0,0,38,40,0,Generic,1
0.642501,12,10,1008,848,32.684774,11505.04004,9512.826172,3,2,58.409183,66.235781,3849.520939,103.80832,255,1909271574,1741590107,255,0.079507,0.045694,0.033813,84,85,0,0,8,1,2,2,1,2,0,0,0,2,7,0,Fuzzers,1
0.318027,14,6,8928,320,59.743357,208560.9219,6716.411133,4,1,24.463616,63.465602,1998.274898,80.690789,255,2306864827,516699343,255,0.000707,0.00056,0.000147,638,53,0,0,4,0,1,1,1,1,0,0,0,1,3,0,Normal,0
0.616215,10,8,878,1420,27.587774,10269.14356,16137.22461,2,2,68.468333,78.09443,4073.838413,104.795367,255,3645849180,1292509503,255,0.093009,0.068976,0.024033,88,178,1,279,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
0.197249,6,2,998,86,35.48814,33744.15234,1743.988647,2,1,39.4498,0.009,2481.986525,0.0,255,734930703,3623130997,255,0.17397,0.07852,0.09545,166,43,0,0,7,3,4,4,1,7,0,0,0,4,7,0,Normal,0
9e-06,2,0,90,0,111111.1072,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,4,6,1,1,1,4,0,0,0,1,4,0,Normal,0
0.778363,10,6,2516,268,19.271214,23279.62695,2302.267822,2,1,82.810444,128.887398,4400.04165,210.366672,255,4139750802,2981488154,255,0.238751,0.133922,0.104829,252,45,0,0,4,1,1,1,1,2,0,0,0,2,3,0,Normal,0
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,7,7,3,7,0,0,0,7,9,0,Generic,1
0.012766,44,46,2766,24004,6971.643492,1694501.0,14715964.0,7,16,0.289651,0.271689,16.731997,16.174545,255,617245956,622974401,255,0.000701,0.000536,0.000165,63,522,0,0,3,0,1,1,1,1,0,0,0,2,3,0,Normal,0
1e-05,2,0,114,0,100000.0025,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,2,2,2,27,0,0,0,2,27,0,Generic,1
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,7,7,3,7,0,0,0,8,10,0,Generic,1
0.898953,10,8,2516,354,18.910888,20156.78125,2758.764893,2,1,93.523556,113.377859,5247.637017,216.20725,255,1856223931,366574925,255,0.177924,0.105298,0.072626,252,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
0.018569,16,18,1540,1644,1777.155468,622112.125,669072.125,4,4,1.217333,1.064882,74.311866,2.104717,255,2108887466,2114133358,255,0.000586,0.000463,0.000123,96,91,0,0,18,0,7,5,1,5,0,0,0,9,9,0,Normal,0
1e-05,2,0,90,0,100000.0025,36000000.0,0.0,1,0,0.01,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,6,6,15,1,1,6,0,0,0,2,6,0,Normal,0
0.897999,10,10,608,646,21.158153,4881.965332,5184.86084,2,3,99.671444,87.753445,5348.600255,124.29668,255,2690913669,734732742,255,0.210124,0.10821,0.101914,61,65,0,0,5,1,1,1,1,2,0,0,0,3,2,0,Exploits,1
5e-06,2,0,104,0,200000.0051,83200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,2,1,1,2,0,0,0,1,4,0,Normal,0
1.1e-05,2,0,168,0,90909.0902,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,12,2,5,5,3,5,0,0,0,5,12,0,Generic,1
7.6e-05,1,0,60,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,9,2,6,6,6,6,0,0,0,6,8,0,Exploits,1
0.168874,92,163,5696,191328,1504.080005,266944.5938,9008136.0,10,70,1.852286,1.030549,109.393076,70.593955,255,4108888738,4113686528,255,0.005716,0.001921,0.003795,62,1174,0,0,19,0,7,1,1,1,0,0,0,1,14,0,Normal,0
0.178546,10,6,924,268,84.011965,37278.91016,10036.62988,2,1,18.428222,34.400602,994.227249,60.044238,255,2589740726,2886780850,255,0.050207,0.006532,0.043675,92,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
0.48826,8,10,364,5062,34.817515,5226.723633,74648.75,1,3,69.751431,48.127778,4563.822941,3431.345984,255,2084895818,3345351077,255,0.074539,0.054394,0.020145,46,506,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Exploits,1
6e-06,2,0,114,0,166666.6608,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,20,2,20,20,20,20,0,0,0,20,20,0,Generic,1
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,3,3,3,3,0,0,0,4,10,0,Generic,1
1.129285,230,438,13246,548216,590.639221,93432.57031,3874770.5,21,197,4.929703,2.583124,1563.347768,1131.078853,255,3337589720,3342247339,255,0.000576,0.000456,0.00012,58,1252,0,0,6,0,7,2,1,2,0,0,0,2,9,0,Normal,0
0.503472,16,12,912,694,53.627613,13585.66211,10121.71582,5,4,33.564801,39.400184,1742.240751,52.197762,255,1596313090,389735299,255,0.070148,0.045824,0.024324,57,58,0,0,6,1,1,1,1,1,0,0,0,3,6,0,Fuzzers,1
0.099788,16,18,1540,1644,330.701077,115765.4219,124503.9453,4,4,6.631267,5.834706,517.060472,18.89483,255,1059703059,1091801503,255,0.000722,0.000588,0.000134,96,91,0,0,13,0,9,3,1,4,0,0,0,5,11,0,Normal,0
1.399201,16,12,2170,642,19.296727,11635.21191,3367.63623,5,3,91.883868,124.61682,5174.918193,217.815906,255,3541878987,1017757110,255,0.066377,0.028413,0.037964,136,54,0,0,8,1,3,1,1,3,0,0,0,8,7,0,Fuzzers,1
7e-06,2,0,114,0,142857.1409,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,Generic,1
0.966053,12,8,974,726,19.667658,7395.039551,5266.791504,3,2,87.822999,125.673859,4417.43949,180.303891,255,3034580127,256578441,255,0.149387,0.085565,0.063822,81,91,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,3,3,3,3,0,0,0,4,10,0,Generic,1
0.001041,2,2,146,178,2881.844351,560999.0625,683957.75,0,0,0.007,0.011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,2,2,1,1,0,0,0,14,1,0,Normal,0
1.23667,46,12,50387,526,46.091519,318869.2188,3124.519775,20,1,24.9076,104.050367,2401.29691,166.698906,255,2247953170,2813165496,255,0.173348,0.092115,0.081233,1095,44,0,0,4,1,1,1,1,1,0,0,0,3,3,0,Fuzzers,1
5e-06,2,0,114,0,200000.0051,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,47,2,23,23,14,47,0,0,0,23,47,0,Generic,1
0.679957,10,6,560,268,22.060219,5929.787109,2635.460938,2,1,67.072444,120.796203,3509.263347,186.682953,255,123610530,838459398,255,0.198548,0.075972,0.122576,56,45,0,0,7,1,1,1,1,7,0,0,0,2,10,0,Normal,0
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,19,2,20,19,19,19,0,0,0,19,19,0,Generic,1
0.020552,52,42,37496,3380,4525.107039,14314909.0,1284546.5,18,8,0.396098,0.489366,21.799468,0.828274,255,1237508657,1238551427,255,0.000617,0.000483,0.000134,721,80,0,0,1,0,2,1,1,1,0,0,0,13,1,0,Normal,0
1.059995,10,8,756,354,16.037811,5139.646484,2339.633545,2,1,113.232889,147.231,8034.658921,200.505719,255,3163199204,2689819060,255,0.076007,0.029375,0.046632,76,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Normal,0
2e-06,2,0,200,0,500000.0013,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,8,5,0,DoS,1
0.593767,10,10,836,1190,31.999084,10145.39356,14429.90332,2,2,65.974111,55.797445,4211.1793,101.834078,255,2478569654,1472963219,255,0.124882,0.05997,0.064912,84,119,1,130,6,1,1,1,1,6,0,0,1,2,6,0,Normal,0
9e-06,2,0,200,0,111111.1072,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,2,2,7,0,0,0,2,7,0,Exploits,1
0.010286,14,6,8928,320,1847.170979,6448376.5,207660.9063,4,1,0.791231,1.9386,42.688499,3.198628,255,2500583896,2516602815,255,0.000586,0.000464,0.000122,638,53,0,0,3,0,6,1,1,4,0,0,0,6,3,0,Normal,0
0.768906,10,10,820,1140,24.710433,7678.441895,10674.90723,2,2,85.434,75.310891,5519.6855,119.070523,255,2936946387,1470660009,255,0.161377,0.090432,0.070945,82,114,1,125,4,1,1,1,1,4,0,0,1,2,4,0,Normal,0
2e-06,2,0,114,0,500000.0013,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,7,7,3,7,0,0,0,8,7,0,Generic,1
1.411492,10,10,816,1362,13.460934,4165.804688,6948.675781,2,2,156.832444,142.014563,10203.65868,192.232375,255,2608109857,2227704499,255,0.231509,0.132637,0.098872,82,136,1,231,1,1,1,1,1,1,0,0,1,1,1,0,Normal,0
0.722452,10,6,1380,268,20.762625,13753.16309,2480.44165,2,1,77.627222,131.729797,4506.720171,230.050484,255,2866517620,330602854,255,0.140526,0.063802,0.076724,138,45,0,0,3,1,1,1,1,1,0,0,0,1,1,0,DoS,1
0.388374,6,2,978,86,18.023864,16787.94141,885.744141,2,1,77.6748,0.009,4506.891055,0.0,255,1109808337,1003661023,255,0.308584,0.188681,0.119903,163,43,0,0,6,3,3,3,1,5,0,0,0,5,5,0,Normal,0
2e-06,2,0,114,0,500000.0013,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,40,2,39,39,16,40,0,0,0,39,40,0,Generic,1
0.878998,14,14,784,764,30.716794,6625.726074,6461.90332,4,4,67.615233,60.355078,3905.196676,98.901695,255,1120337665,3130771787,255,0.103819,0.059343,0.044476,56,55,0,0,5,1,1,1,1,6,0,0,0,1,5,0,Normal,0
0.399639,10,8,804,1062,42.53839,14493.08008,18616.80078,2,2,44.306111,49.175855,2311.60051,66.410602,255,1766331187,4133538984,255,0.084671,0.055405,0.029266,80,133,1,124,4,1,2,2,1,4,0,0,1,2,4,0,Normal,0
1e-05,2,0,136,0,100000.0025,54400000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,68,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
4.821167,28,24,1464,1748,10.578352,2343.001221,2781.069336,7,9,178.553921,207.165529,10370.52382,13539.9745,255,518197639,1295464622,255,0.106509,0.056355,0.050154,52,73,0,0,4,1,2,1,1,2,0,0,0,2,2,0,Exploits,1
0.004079,8,10,1040,824,4167.688064,1784751.125,1455258.625,2,2,0.532286,0.391111,34.044082,0.710136,255,1377770261,1378805387,255,0.000708,0.000555,0.000153,130,82,1,83,5,0,2,1,1,2,0,0,1,5,1,0,Normal,0
0.34649,28,30,4400,3080,164.506914,97965.3125,68758.11719,7,7,12.818111,11.930345,720.773553,18.181455,255,3233196708,3236773522,255,0.000644,0.000507,0.000137,157,103,0,0,10,0,2,1,1,1,0,0,0,3,8,0,Normal,0
5e-06,2,0,114,0,200000.0051,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,21,2,5,5,5,21,0,0,0,5,21,0,Generic,1
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,32,32,20,36,0,0,0,33,36,0,Generic,1
1e-05,2,0,114,0,100000.0025,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,25,25,25,27,0,0,0,25,27,0,Generic,1
8e-06,2,0,1448,0,125000.0003,724000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,724,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
0.519177,20,8,17286,354,52.005383,253046.6406,4776.791016,7,1,25.841315,64.483715,1916.910721,83.555039,255,3207970188,2521083813,255,0.118799,0.067786,0.051013,864,44,0,0,2,1,1,1,1,2,0,0,0,5,2,0,Normal,0
0.005005,18,18,3672,2456,6993.006771,5543256.5,3708291.5,7,7,0.276,0.262176,13.667034,0.347623,255,3858908271,1716726783,255,0.000687,0.000544,0.000143,204,136,0,0,6,0,4,1,1,3,0,0,0,8,10,0,Normal,0
0.683523,10,16,814,13608,36.575214,8579.082031,149320.5,2,6,75.947,40.920134,4327.788056,4464.829658,255,1692690274,964317486,255,0.066309,0.033062,0.033247,81,851,1,6229,2,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
4e-06,2,0,200,0,90909.0902,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,9,14,0,Fuzzers,1
1.043251,10,8,864,1116,16.295215,5965.96582,7491.964844,2,2,115.813333,133.111141,6141.63905,207.290625,255,2835885621,446925213,255,0.175937,0.11147,0.064467,86,140,1,136,2,1,1,1,1,2,0,0,1,1,2,0,Normal,0
0.057989,72,74,4238,63878,2500.474173,576661.0625,8693373.0,7,30,0.812183,0.798236,52.456501,51.717686,255,796623351,2942290300,255,0.000644,0.000505,0.000139,59,863,0,0,6,0,4,1,1,1,0,0,0,6,12,0,Normal,0
5e-06,2,0,200,0,200000.0051,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,23,2,6,6,6,6,0,0,0,8,18,0,Exploits,1
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,2,8,8,6,8,0,0,0,8,8,0,Generic,1
0.001137,2,2,146,178,2638.522328,513632.3438,626209.3125,0,0,0.012,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,3,2,1,2,0,0,0,3,6,0,Normal,0
3.315317,182,44,214505,2812,67.866815,514767.0625,6633.453125,88,8,18.316668,75.058695,1814.419301,88.867266,255,2228989328,2427852136,255,0.162629,0.087548,0.075081,1179,64,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
1e-05,2,0,114,0,100000.0025,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,4,7,0,0,0,9,11,0,Generic,1
0.0,1,0,46,0,0.0,0.0,0.0,0,0,60000.74,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
0.031606,122,126,7814,14682,7814.971861,1961652.875,3686895.0,30,32,0.258281,0.248736,16.185358,14.39988,255,3441098355,1296734904,255,0.000645,0.00051,0.000135,64,117,0,0,12,0,3,1,1,1,0,0,0,12,3,0,Normal,0
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,2,20,20,20,22,0,0,0,20,22,0,Generic,1
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,4,7,0,0,0,7,14,0,Generic,1
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,24,24,24,24,0,0,0,24,24,0,Generic,1
1.942803,10,8,866,354,8.750244,3211.854248,1276.506104,2,1,215.760444,259.294859,12793.81782,442.848937,255,4261265678,2963176244,255,0.173843,0.127738,0.046105,87,44,0,0,4,1,1,1,1,1,0,0,0,2,1,0,Normal,0
8e-06,2,0,200,0,125000.0003,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,12,7,0,DoS,1
1e-05,2,0,114,0,100000.0025,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,3,3,3,3,0,0,0,3,14,0,Generic,1
3e-06,2,0,200,0,333333.3215,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,3,7,0,DoS,1
0.336566,52,54,2934,3742,311.97447,68408.57031,87305.3125,11,15,6.593196,6.340019,1204.409538,38.168898,255,1233919283,3384579297,255,0.00069,0.000541,0.000149,56,69,0,0,1,0,5,1,1,4,1,1,0,6,1,0,Normal,0
0.036646,122,126,7808,15182,6740.162446,1690552.75,3288107.75,30,32,0.299752,0.288896,21.199444,17.912247,255,3348320586,1203982096,255,0.00071,0.00053,0.00018,64,120,0,0,13,0,3,1,1,1,0,0,0,10,3,0,Normal,0
0.534649,12,8,1060,764,35.537333,14544.12109,10010.30566,3,2,44.046091,69.34057,2341.847467,96.403828,255,2312787807,2763692068,255,0.106002,0.049258,0.056744,88,96,0,0,7,1,1,1,1,1,0,0,0,1,8,0,Fuzzers,1
0.596506,8,10,364,3754,28.499294,4278.24707,45317.23047,1,3,85.063002,59.168222,5375.974008,4525.536735,255,2061099034,1785703148,255,0.125892,0.063987,0.061905,46,375,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
0.015009,36,38,2334,16290,4863.748429,1209940.75,8454661.0,7,12,0.420286,0.389676,27.188764,26.080918,255,1299694327,3445386641,255,0.000718,0.000581,0.000137,65,429,0,0,4,0,1,1,1,1,0,0,0,2,1,0,Normal,0
1.004808,10,8,564,354,16.918656,4044.553955,2468.133301,2,1,109.810111,134.715422,6684.28494,207.298406,255,1592776592,1781647461,255,0.105645,0.061793,0.043852,56,44,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
