dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
0.733346,10,8,564,354,23.181418,5541.722656,3381.759766,2,1,80.705,98.46857,5669.189212,145.831844,255,2806729262,2339950233,255,0.060737,0.044055,0.016682,56,44,0,0,5,1,1,1,1,1,0,0,0,3,1,0,1
0.189227,14,6,9304,268,100.408504,365275.5625,9470.107422,4,1,14.393077,32.001801,934.943082,54.939188,255,1031826723,1381108853,255,0.050371,0.029209,0.021162,665,45,1,0,2,1,1,1,1,1,0,0,1,1,3,0,1
0.785885,22,20,5388,1816,52.170485,52363.89844,17570.00195,8,8,37.423096,40.511473,1933.289608,51.491492,255,1679750682,3539957284,255,0.054712,0.008551,0.046161,245,91,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.4726,10,6,540,268,31.739314,8226.830078,3791.790039,2,1,48.684556,76.176,2561.71936,115.700984,255,2587024975,3318859915,255,0.166805,0.091711,0.075094,54,45,0,0,4,1,2,1,1,1,0,0,0,2,1,0,1
4e-06,2,0,1098,0,250000.0006,1098000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,549,0,0,0,6,2,5,4,1,5,0,0,0,5,5,0,1
1e-05,2,0,114,0,100000.0025,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,25,25,25,36,0,0,0,25,36,0,1
1.014624,14,18,1684,10168,30.55319,12331.66211,75724.60156,3,5,78.022387,59.650235,8761.875086,7676.125935,255,3606828119,1458740158,255,0.000701,0.000559,0.000142,120,565,1,3924,1,0,4,1,1,1,0,0,1,2,2,0,0
0.510554,10,6,566,268,29.379849,7991.318848,3509.912598,2,1,52.677111,91.316,2825.863549,141.330297,255,1052970528,2679821649,255,0.090125,0.053965,0.03616,57,45,0,0,3,1,1,1,1,3,0,0,0,1,3,0,0
5e-06,2,0,114,0,200000.0051,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,48,2,6,6,6,48,0,0,0,6,48,0,1
1.5e-05,2,0,1424,0,66666.66835,379733344.0,0.0,0,0,0.015,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,712,0,0,0,2,2,2,1,1,1,0,0,0,2,3,0,1
0.858596,10,8,838,1230,19.799766,7034.740234,10034.98731,2,2,95.399556,97.275859,4819.143607,176.730047,255,1481006547,4238410689,255,0.20504,0.104002,0.101038,84,154,1,194,3,1,1,1,1,3,0,0,1,1,3,0,0
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,38,2,19,19,7,38,0,0,0,19,38,0,1
0.004643,22,14,1470,1728,7538.229274,2419125.5,2765453.25,5,4,0.221095,0.298615,13.60155,0.400506,255,1605643073,1605952441,255,0.000791,0.000629,0.000162,67,123,0,0,4,0,1,1,1,1,0,0,0,1,7,0,0
1.2e-05,2,0,104,0,83333.33039,34666664.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,2,2,3,1,1,1,0,0,0,1,4,0,1
0.067027,84,86,4862,77276,2521.371888,573500.1875,9116087.0,7,36,0.802602,0.781647,0.0,52.808658,255,1903848223,1923982805,255,0.000735,0.000583,0.000152,58,899,0,0,8,0,1,1,1,1,0,0,0,3,3,0,0
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,2,10,10,10,18,0,0,0,10,18,0,1
0.469021,6,2,1012,86,14.924705,14395.94434,733.442627,2,1,93.8042,0.004,5812.678138,0.0,255,3113972582,3820809170,255,0.40625,0.294799,0.111451,169,43,0,0,4,3,2,2,1,2,0,0,0,3,2,0,0
6e-06,2,0,114,0,166666.6608,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,38,2,27,27,10,38,0,0,0,27,38,0,1
0.00101,2,2,130,162,2970.297008,514851.4688,641584.125,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,5,0,3,3,2,2,0,0,0,7,3,0,0
0.0,1,0,46,0,0.0,0.0,0.0,0,0,60000.616,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,0
1.51694,10,8,932,354,11.206772,4424.697266,1634.870239,2,1,163.630111,211.044719,10537.42817,310.3135,255,3247514192,2717151831,255,0.082931,0.039626,0.043305,93,44,0,0,5,1,1,1,1,3,0,0,0,1,3,0,0
9e-06,2,0,90,0,111111.1072,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,7,6,3,1,1,5,0,0,0,4,5,0,0
0.500549,2,4,96,182,9.989032,767.157654,2189.595703,1,1,0.004,143.042328,0.0,202.287453,255,1131796587,3594767646,255,0.071418,0.071418,0.0,48,46,0,0,8,3,1,1,1,1,0,0,0,2,2,0,1
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,2,4,4,4,4,0,0,0,4,6,0,1
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,9,2,4,4,4,4,0,0,0,9,9,0,1
3e-06,2,0,200,0,333333.3215,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,4,3,3,6,0,0,0,13,6,0,1
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,27,2,25,25,25,27,0,0,0,27,27,0,1
0.223556,8,12,424,8824,84.989892,13276.31543,289466.625,1,4,31.890427,20.273727,2144.629374,1705.42384,255,1272871204,3526794007,255,0.000694,0.000538,0.000156,53,735,0,0,3,0,2,1,1,2,0,0,0,5,5,0,0
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,18,18,18,36,0,0,0,18,36,0,1
0.392595,28,30,4776,3080,145.187791,93857.53906,60683.40234,7,7,14.528592,13.518,803.89091,20.353965,255,3547613941,1471169942,255,0.000716,0.000566,0.00015,171,103,0,0,5,0,3,1,1,1,0,0,0,4,4,0,0
1.534109,60,14,68185,612,47.584624,349644.0,2967.19458,27,1,24.385526,111.689617,2435.323815,151.563187,255,3129365131,1901451056,255,0.189971,0.08214,0.107831,1136,44,1,0,3,1,1,1,1,2,0,0,1,1,2,0,0
1.078501,10,10,816,1276,17.617045,5452.011719,8522.94043,2,2,119.833444,110.196555,7150.551674,185.957609,255,261431220,1599691333,255,0.158862,0.085976,0.072886,82,128,1,181,1,1,1,1,1,1,0,0,1,1,1,0,1
0.656631,10,6,566,268,22.843881,6213.535645,2729.082275,2,1,72.858333,110.876398,3959.367773,183.915656,255,3020843736,742908011,255,0.185892,0.102238,0.083654,57,45,1,0,2,1,1,1,1,1,0,0,1,1,2,0,1
0.099151,4,4,512,304,70.599389,30983.04688,18396.18359,0,0,28.021,19.039334,39.615656,26.917906,0,0,0,0,0.0,0.0,0.0,128,76,0,0,5,0,4,1,1,3,0,0,0,3,9,0,0
4e-06,2,0,114,0,250000.0006,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,7,7,3,7,0,0,0,8,7,0,1
0.611808,6,2,998,86,11.441498,10879.23047,562.267883,2,1,122.3616,0.008,6119.413909,0.0,255,507409438,3196419210,255,0.315199,0.161906,0.153293,166,43,0,0,3,3,2,1,1,3,0,0,0,1,3,0,0
9e-06,2,0,104,0,111111.1072,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,2,1,1,2,0,0,0,1,1,0,1
4e-06,2,0,200,0,250000.0006,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,9,14,0,1
2.070875,10,8,534,354,8.209091,1858.151855,1197.561401,2,1,230.000444,274.818562,13521.41362,419.006594,255,2526070449,727731294,255,0.266915,0.14714,0.119775,53,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,0
0.001684,4,4,528,304,4156.769554,1881235.125,1083135.375,0,0,0.436333,0.195667,0.610705,0.269655,0,0,0,0,0.0,0.0,0.0,132,76,0,0,4,0,3,1,1,3,0,0,0,3,9,0,0
0.001058,2,2,130,162,2835.538689,491493.375,612476.375,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,1,1,1,1,0,0,0,2,3,0,0
3.116818,84,30,86966,2268,36.254925,220560.8438,5628.817871,39,8,37.552024,104.527102,3608.979879,153.961797,255,114856305,401722822,255,0.132207,0.069581,0.062626,1035,76,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1
0.000985,2,2,146,178,3045.685126,592893.375,722842.625,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,2,1,1,0,0,0,12,2,0,0
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,43,43,18,45,0,0,0,43,45,0,1
1.2e-05,2,0,168,0,83333.33039,56000000.0,0.0,0,0,0.012,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,2,1,1,1,0,0,0,1,2,0,1
9e-06,2,0,90,0,111111.1072,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,1,1,1,9,0,0,0,3,7,0,0
0.01193,36,38,2334,16290,6119.027642,1522212.875,10636714.0,7,12,0.331486,0.305838,19.05192,17.918391,255,4112643131,1963386896,255,0.000745,0.000604,0.000141,65,429,0,0,13,0,1,1,1,1,0,0,0,8,11,0,0
0.444192,10,6,2718,268,33.769181,44071.03125,4034.291504,2,1,49.248333,79.976602,2759.501059,127.503258,255,3541616382,3055028983,255,0.117666,0.044307,0.073359,272,45,0,0,1,1,1,1,1,1,0,0,0,11,1,0,1
0.792533,16,10,3428,556,31.544429,32442.81445,5057.202637,5,3,50.3012,77.87,2754.074861,106.022984,255,4004431168,3215785289,255,0.123195,0.091695,0.0315,214,56,0,0,4,1,2,2,2,4,0,0,0,2,4,0,0
0.006493,18,18,4216,2456,5390.420579,4906207.0,2858463.0,7,7,0.361353,0.351824,18.993295,0.468305,255,3602615003,1456521433,255,0.000643,0.000509,0.000134,234,136,0,0,3,0,4,1,1,3,0,0,0,3,6,0,0
6e-06,2,0,200,0,166666.6608,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,4,4,4,4,0,0,0,8,14,0,1
0.011883,38,40,2438,20718,6479.845205,1598249.625,13599933.0,7,13,0.312541,0.286974,17.780308,17.351285,255,598779386,599114287,255,0.000835,0.00068,0.000155,64,518,0,0,3,0,2,1,1,1,0,0,0,2,4,0,0
7e-06,2,0,200,0,142857.1409,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,2,2,2,2,0,0,0,6,9,0,1
3e-06,2,0,114,0,333333.3215,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,31,2,11,11,11,31,0,0,0,11,31,0,1
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,23,23,10,23,0,0,0,23,23,0,1
1e-06,2,0,114,0,1000000.003,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,4,3,3,3,0,0,0,5,7,0,1
0.020864,16,18,1540,1644,1581.671738,553680.9375,595475.4375,4,4,1.369733,1.198765,84.72793,2.582799,255,4162285956,4171681392,255,0.000607,0.00048,0.000127,96,91,0,0,9,0,10,7,2,9,0,0,0,9,9,0,0
0.803706,10,8,534,354,21.152014,4787.820312,3085.705566,2,1,86.603333,96.27543,6038.73495,140.973062,255,3274733405,1312810507,255,0.189023,0.129769,0.059254,53,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
9e-06,2,0,114,0,111111.1072,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,23,23,23,23,0,0,0,23,23,0,1
1.1e-05,2,0,168,0,90909.0902,61090908.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,1
0.000932,2,2,146,178,3218.884136,626609.4375,763948.5,0,0,0.01,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,2,1,1,0,0,0,3,1,0,0
7e-06,2,0,200,0,142857.1409,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,2,2,2,2,0,0,0,3,10,0,1
0.374475,6,8,320,1890,34.715268,5703.985352,35334.80078,1,2,74.82,53.410715,5279.192527,130.489055,255,2972418133,3187824509,255,0.000752,0.000597,0.000155,53,236,0,0,6,0,5,1,1,1,0,0,0,5,3,0,0
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,45,45,28,45,0,0,0,45,45,0,1
7e-06,2,0,200,0,142857.1409,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,5,5,5,5,0,0,0,5,13,0,1
1.009835,22,22,1174,1660,42.581214,8880.658203,12556.50684,7,9,48.087379,47.142856,2920.711686,2769.286268,255,2748307187,241931554,255,0.054259,0.018896,0.035363,53,75,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1
1e-05,2,0,200,0,100000.0025,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,12,2,2,2,2,2,0,0,0,8,12,0,1
1.1e-05,2,0,114,0,90909.0902,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,2,4,4,4,4,0,0,0,4,6,0,1
0.565135,10,8,808,1178,30.081308,10305.50195,14594.74316,2,2,62.792778,59.439,3118.483404,90.760852,255,622949528,2106814683,255,0.179438,0.148581,0.030857,81,147,1,181,5,1,3,2,2,5,0,0,4,2,5,0,0
0.895526,12,12,634,682,25.68323,5199.179199,5592.244141,3,4,81.324906,74.750633,4059.100506,93.343047,255,2513503331,881176208,255,0.135949,0.073263,0.062686,53,57,0,0,2,1,1,1,1,2,0,0,0,2,2,0,0
0.004045,8,10,1040,824,4202.719579,1799752.875,1467490.75,2,2,0.527,0.394778,34.518239,0.721262,255,1054926773,1055970273,255,0.000623,0.000488,0.000135,130,82,1,83,1,0,5,1,1,1,0,0,1,8,3,0,0
8e-06,2,0,114,0,125000.0003,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,2,17,17,17,17,0,0,0,17,17,0,1
