ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Llama,current_events,77.43,549,FALSE,FALSE,TRUE,Vague,25-34,PhD,High,Advanced,Low,Medium,TRUE,FALSE,9.5,TRUE,Checked Official Source,33.8,73.81,FALSE,Moderate Trust
Gemini,recipe_cooking,78.83,419,FALSE,TRUE,FALSE,Specific,35-44,High School,Expert,Advanced,Medium,Medium,,FALSE,7.2,TRUE,Cross-referenced Multiple AIs,41.9,81.22,TRUE,Skeptical
Gemini,creative_writing,75,386,FALSE,TRUE,TRUE,Moderate,45-54,Professional,Medium,Intermediate,Low,Medium,TRUE,FALSE,9.9,FALSE,,0,66.21,FALSE,Blind Trust
Gemini,current_events,55.73,698,TRUE,TRUE,FALSE,Moderate,18-24,Bachelors,Low,Beginner,Critical,High,FALSE,TRUE,5.2,FALSE,,0,55.92,TRUE,Skeptical
Gemini,factual_historical,79.42,382,FALSE,FALSE,TRUE,Vague,18-24,Professional,Expert,Advanced,High,High,FALSE,FALSE,6.7,TRUE,Asked Expert,30,88.58,FALSE,Skeptical
Claude,opinion_based,47.7,53,FALSE,TRUE,FALSE,Vague,65+,PhD,High,Beginner,Critical,Low,FALSE,TRUE,2.9,TRUE,Academic Paper,29.9,40.41,TRUE,Highly Skeptical
ChatGPT-3.5,legal_advice,52.94,725,TRUE,FALSE,TRUE,Vague,55-64,PhD,Medium,Intermediate,Critical,Medium,FALSE,TRUE,4.7,TRUE,Personal Testing,36.1,38.72,TRUE,Highly Skeptical
Gemini,technical_coding,91.49,457,TRUE,TRUE,FALSE,Very Specific,35-44,Masters,Expert,Advanced,Medium,Low,,TRUE,9.4,FALSE,,0,78.01,TRUE,Blind Trust
Llama,recipe_cooking,85.85,617,FALSE,TRUE,FALSE,Specific,55-64,Bachelors,Low,Beginner,Low,Low,,FALSE,9.9,TRUE,Cross-referenced Multiple AIs,42.1,77.63,FALSE,Moderate Trust
Claude,financial_advice,55.95,166,TRUE,FALSE,TRUE,Very Specific,18-24,Masters,Medium,First Time,High,High,,TRUE,7.7,TRUE,Checked Official Source,34.3,55.71,FALSE,Skeptical
Mistral,current_events,75.51,289,TRUE,FALSE,TRUE,Specific,45-54,Masters,Low,First Time,High,Low,TRUE,TRUE,10,TRUE,Google Search,13,53.58,FALSE,Moderate Trust
Llama,opinion_based,42.81,86,TRUE,FALSE,TRUE,Very Specific,45-54,Masters,Low,Intermediate,Critical,High,FALSE,FALSE,2.7,TRUE,Academic Paper,2.5,21.4,TRUE,Highly Skeptical
GPT-4,current_events,62.31,51,FALSE,TRUE,TRUE,Very Specific,65+,PhD,Low,Beginner,High,Low,FALSE,FALSE,4.8,TRUE,Cross-referenced Multiple AIs,26.2,40.83,TRUE,Highly Skeptical
GPT-4,current_events,65.12,320,FALSE,TRUE,TRUE,Very Specific,18-24,PhD,Expert,Beginner,High,None,TRUE,FALSE,7.5,TRUE,Personal Testing,11.5,61.68,TRUE,Skeptical
Claude,legal_advice,64.2,293,TRUE,FALSE,FALSE,Specific,65+,PhD,High,Expert,Low,High,FALSE,FALSE,6.6,TRUE,Google Search,27.5,59.63,TRUE,Skeptical
Claude,creative_writing,64.93,177,TRUE,FALSE,FALSE,Very Specific,65+,Masters,Low,Advanced,Low,Low,TRUE,FALSE,9.4,TRUE,Checked Official Source,30.4,67.76,FALSE,Moderate Trust
Gemini,technical_coding,75.1,107,FALSE,FALSE,TRUE,Moderate,65+,PhD,Expert,Beginner,High,None,TRUE,TRUE,9.5,TRUE,Consulted Documentation,37.6,69.68,FALSE,Moderate Trust
ChatGPT-3.5,opinion_based,43.22,345,TRUE,TRUE,TRUE,Moderate,35-44,High School,Low,Intermediate,High,Medium,FALSE,FALSE,4.3,FALSE,,0,26.69,TRUE,Skeptical
Gemini,legal_advice,58.29,776,TRUE,FALSE,TRUE,Vague,65+,PhD,Low,First Time,Low,High,TRUE,TRUE,10,FALSE,,0,63.76,FALSE,Blind Trust
Llama,current_events,76.42,466,TRUE,FALSE,FALSE,Moderate,35-44,Masters,Expert,Expert,Critical,None,TRUE,TRUE,9.4,TRUE,Google Search,30.9,66.39,FALSE,Moderate Trust
Gemini,financial_advice,48.76,60,FALSE,TRUE,TRUE,Moderate,65+,Bachelors,Medium,Beginner,Medium,Low,TRUE,FALSE,7.3,TRUE,Checked Official Source,26.3,47.61,FALSE,Skeptical
GPT-4,math_calculation,92.82,541,TRUE,FALSE,FALSE,Moderate,65+,High School,Medium,Beginner,Medium,None,,FALSE,10,FALSE,,0,90.77,TRUE,Blind Trust
Mistral,financial_advice,46.95,521,FALSE,FALSE,FALSE,Vague,55-64,High School,Expert,Intermediate,Low,None,,FALSE,5.2,TRUE,Academic Paper,25.5,58.55,TRUE,Skeptical
Claude,creative_writing,60.77,442,TRUE,TRUE,TRUE,Moderate,35-44,High School,Expert,Beginner,Low,Low,,FALSE,8,TRUE,Personal Testing,35,71.84,TRUE,Moderate Trust
Claude,financial_advice,56.58,688,FALSE,TRUE,FALSE,Moderate,35-44,High School,Expert,First Time,Medium,None,,TRUE,5.7,TRUE,Google Search,14.8,48.42,TRUE,Skeptical
Claude,math_calculation,98.66,109,FALSE,TRUE,TRUE,Specific,45-54,Professional,High,Beginner,Medium,None,FALSE,TRUE,9.1,TRUE,Cross-referenced Multiple AIs,16.6,89.95,TRUE,Moderate Trust
Claude,math_calculation,89.07,258,FALSE,FALSE,TRUE,Very Specific,55-64,Masters,Expert,Expert,High,Medium,TRUE,FALSE,10,TRUE,Asked Colleague,37.6,89.53,TRUE,Moderate Trust
GPT-4,factual_historical,83.32,152,TRUE,TRUE,TRUE,Moderate,65+,PhD,Low,Beginner,Critical,Medium,TRUE,TRUE,10,TRUE,Google Search,44.5,81,TRUE,Moderate Trust
ChatGPT-3.5,scientific_facts,77.77,97,FALSE,TRUE,FALSE,Moderate,18-24,PhD,Expert,Beginner,Critical,Medium,,TRUE,7.2,TRUE,Cross-referenced Multiple AIs,2.2,76.98,TRUE,Skeptical
Claude,current_events,65.01,74,TRUE,TRUE,FALSE,Specific,25-34,Masters,Low,Expert,Low,Medium,FALSE,FALSE,8,FALSE,,0,46.75,FALSE,Blind Trust
GPT-4,recipe_cooking,84.03,180,FALSE,FALSE,TRUE,Moderate,65+,PhD,High,First Time,High,Medium,TRUE,TRUE,10,TRUE,Google Search,34.6,85.07,TRUE,Moderate Trust
Gemini,legal_advice,66.99,263,FALSE,FALSE,TRUE,Very Specific,18-24,Bachelors,High,Intermediate,Medium,Medium,,FALSE,6.7,TRUE,Google Search,6.1,60.83,TRUE,Skeptical
ChatGPT-3.5,technical_coding,78.57,772,TRUE,FALSE,FALSE,Moderate,18-24,Bachelors,Medium,Advanced,Medium,None,FALSE,FALSE,9,FALSE,,0,92.84,TRUE,Blind Trust
GPT-4,scientific_facts,80.43,560,TRUE,FALSE,TRUE,Moderate,18-24,PhD,High,Beginner,Medium,None,FALSE,TRUE,8.5,TRUE,Asked Expert,19.6,84.6,TRUE,Moderate Trust
Mistral,recipe_cooking,76.07,188,FALSE,TRUE,TRUE,Moderate,55-64,High School,Expert,Advanced,Low,Medium,FALSE,TRUE,6.5,TRUE,Asked Expert,35.6,65.51,TRUE,Skeptical
ChatGPT-3.5,legal_advice,68.36,416,TRUE,TRUE,FALSE,Moderate,25-34,PhD,Low,Intermediate,Low,Medium,,TRUE,8.2,FALSE,,0,76.36,TRUE,Blind Trust
GPT-4,technical_coding,86.27,666,FALSE,FALSE,TRUE,Very Specific,18-24,Bachelors,Expert,Intermediate,High,Medium,,FALSE,8.1,TRUE,Asked Expert,25.3,79.5,TRUE,Moderate Trust
Claude,recipe_cooking,78,563,FALSE,TRUE,FALSE,Very Specific,45-54,PhD,Medium,Intermediate,Medium,Low,,FALSE,8.1,FALSE,,0,74.43,TRUE,Blind Trust
Gemini,creative_writing,64.34,477,TRUE,TRUE,FALSE,Moderate,45-54,High School,High,Beginner,Low,Medium,,TRUE,8.7,FALSE,,0,75.1,TRUE,Blind Trust
ChatGPT-3.5,financial_advice,48.63,758,TRUE,TRUE,TRUE,Specific,35-44,High School,Medium,Intermediate,Medium,None,,FALSE,5.7,FALSE,,0,60.58,TRUE,Skeptical
GPT-4,technical_coding,78.51,751,TRUE,FALSE,TRUE,Vague,45-54,Masters,Medium,Intermediate,High,High,,FALSE,8.5,TRUE,Consulted Documentation,22.1,73.84,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,65.68,228,FALSE,TRUE,FALSE,Vague,18-24,Professional,Medium,Beginner,Low,High,FALSE,TRUE,6.6,FALSE,,0,67.84,TRUE,Moderate Trust
Gemini,recipe_cooking,83.56,782,FALSE,FALSE,FALSE,Moderate,35-44,Professional,Medium,Intermediate,Medium,None,,TRUE,8.9,TRUE,Consulted Documentation,17.2,77.87,TRUE,Moderate Trust
Mistral,scientific_facts,78.98,721,TRUE,FALSE,TRUE,Specific,45-54,High School,Low,Expert,High,High,TRUE,TRUE,10,FALSE,,0,81.3,TRUE,Blind Trust
ChatGPT-3.5,opinion_based,44.6,177,TRUE,TRUE,TRUE,Vague,35-44,Masters,Low,Expert,High,None,TRUE,FALSE,5.8,TRUE,Asked Colleague,37,22.32,FALSE,Skeptical
ChatGPT-3.5,scientific_facts,89.73,530,FALSE,FALSE,TRUE,Very Specific,55-64,Masters,High,Advanced,Critical,Medium,,FALSE,8,FALSE,,0,87.16,TRUE,Blind Trust
Gemini,math_calculation,85.71,745,TRUE,TRUE,TRUE,Moderate,65+,Bachelors,Expert,Beginner,High,Low,,TRUE,8.8,TRUE,Asked Colleague,41.3,79.75,TRUE,Moderate Trust
Mistral,medical_advice,66.94,591,FALSE,TRUE,FALSE,Vague,18-24,PhD,Medium,First Time,Critical,Medium,,FALSE,6.2,TRUE,Personal Testing,31,58.21,TRUE,Skeptical
Gemini,creative_writing,69.4,127,TRUE,TRUE,FALSE,Specific,18-24,PhD,High,Advanced,Critical,Medium,,TRUE,7,TRUE,Asked Colleague,8.4,83.3,TRUE,Skeptical
Llama,creative_writing,78.42,154,FALSE,FALSE,FALSE,Vague,35-44,PhD,Low,Intermediate,Low,Medium,,FALSE,8.8,FALSE,,0,66.9,FALSE,Blind Trust
Mistral,recipe_cooking,80.39,298,FALSE,TRUE,FALSE,Specific,25-34,Professional,Medium,Expert,High,High,FALSE,TRUE,7.5,TRUE,Academic Paper,2.4,77.29,TRUE,Skeptical
GPT-4,technical_coding,83.16,257,TRUE,TRUE,TRUE,Specific,65+,Professional,Medium,Expert,High,None,,TRUE,9.3,TRUE,Cross-referenced Multiple AIs,16.5,96.68,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,72.92,490,FALSE,TRUE,TRUE,Very Specific,25-34,PhD,Medium,Advanced,Low,Low,FALSE,TRUE,7.3,TRUE,Academic Paper,37.6,87.51,TRUE,Skeptical
ChatGPT-3.5,recipe_cooking,75.38,317,FALSE,TRUE,FALSE,Specific,35-44,Masters,Medium,Advanced,Critical,None,FALSE,FALSE,5.1,TRUE,Asked Colleague,25.4,60.63,TRUE,Skeptical
Llama,current_events,65.96,794,TRUE,TRUE,TRUE,Very Specific,55-64,Bachelors,Low,First Time,Critical,High,,TRUE,7.4,TRUE,Consulted Documentation,21.3,66.6,TRUE,Skeptical
Llama,legal_advice,58.08,587,TRUE,TRUE,FALSE,Very Specific,65+,PhD,Medium,Intermediate,Low,High,,FALSE,7.9,TRUE,Google Search,41.5,61.59,TRUE,Skeptical
GPT-4,current_events,59.28,138,TRUE,TRUE,FALSE,Specific,35-44,Professional,Medium,Advanced,Medium,High,,TRUE,7.6,FALSE,,0,35.69,FALSE,Moderate Trust
ChatGPT-3.5,math_calculation,98.51,697,FALSE,FALSE,TRUE,Moderate,65+,Bachelors,Low,Advanced,Critical,High,,FALSE,9.5,TRUE,Academic Paper,39,100,TRUE,Moderate Trust
Gemini,factual_historical,88.03,129,TRUE,FALSE,FALSE,Specific,45-54,Masters,Expert,Beginner,Low,High,,FALSE,10,FALSE,,0,96.82,TRUE,Blind Trust
Mistral,technical_coding,75.58,253,FALSE,FALSE,FALSE,Vague,55-64,PhD,High,Intermediate,Low,None,,FALSE,8.1,TRUE,Consulted Documentation,32.6,61.68,TRUE,Moderate Trust
Gemini,opinion_based,47.38,144,FALSE,TRUE,TRUE,Specific,65+,Bachelors,Medium,Intermediate,Critical,None,,FALSE,4.2,TRUE,Asked Colleague,31.8,35.21,TRUE,Highly Skeptical
Gemini,factual_historical,76.86,439,TRUE,FALSE,FALSE,Very Specific,55-64,PhD,Low,First Time,Medium,Medium,TRUE,FALSE,10,TRUE,Academic Paper,32.8,68.52,FALSE,Moderate Trust
Claude,math_calculation,88.16,689,TRUE,TRUE,FALSE,Vague,65+,High School,Medium,Expert,Medium,Low,TRUE,FALSE,10,FALSE,,0,75.67,FALSE,Blind Trust
ChatGPT-3.5,scientific_facts,89.46,751,TRUE,TRUE,TRUE,Very Specific,25-34,High School,Low,Expert,High,Medium,FALSE,FALSE,8.4,TRUE,Google Search,35.8,79.42,TRUE,Moderate Trust
Claude,current_events,59.47,771,FALSE,TRUE,TRUE,Moderate,55-64,Bachelors,Expert,Expert,Low,High,FALSE,FALSE,5.2,FALSE,,0,42.38,TRUE,Skeptical
ChatGPT-3.5,scientific_facts,88.65,725,FALSE,FALSE,FALSE,Moderate,25-34,Professional,Low,Advanced,Low,None,FALSE,TRUE,8.9,TRUE,Asked Colleague,9.6,79.42,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,80.62,517,FALSE,FALSE,FALSE,Vague,45-54,PhD,Low,Intermediate,High,None,TRUE,TRUE,9,TRUE,Asked Colleague,12.6,68.01,FALSE,Moderate Trust
GPT-4,technical_coding,80.77,597,TRUE,FALSE,TRUE,Very Specific,65+,Professional,Expert,Intermediate,High,Low,,FALSE,8.2,TRUE,Asked Expert,16.2,73.31,TRUE,Moderate Trust
Mistral,scientific_facts,89.4,388,TRUE,TRUE,FALSE,Vague,65+,Professional,Medium,Advanced,Low,Low,FALSE,TRUE,8.9,TRUE,Consulted Documentation,16.3,100,TRUE,Moderate Trust
Mistral,creative_writing,77.13,639,FALSE,TRUE,FALSE,Vague,55-64,Masters,Expert,Expert,High,Medium,,FALSE,6.9,TRUE,Academic Paper,34.3,66.69,TRUE,Skeptical
Gemini,recipe_cooking,83.64,756,FALSE,FALSE,FALSE,Vague,45-54,Masters,High,Beginner,High,Medium,TRUE,FALSE,10,TRUE,Academic Paper,25.8,80.54,TRUE,Moderate Trust
Claude,recipe_cooking,88.54,196,TRUE,FALSE,FALSE,Specific,65+,High School,Expert,First Time,Medium,High,TRUE,TRUE,10,FALSE,,0,96.36,TRUE,Blind Trust
Claude,opinion_based,54.8,770,TRUE,TRUE,TRUE,Vague,45-54,PhD,Low,Advanced,Low,Medium,TRUE,FALSE,8.9,TRUE,Consulted Documentation,23.3,59.7,FALSE,Moderate Trust
Gemini,legal_advice,48.06,566,TRUE,FALSE,TRUE,Vague,35-44,Masters,Expert,Advanced,High,Medium,FALSE,FALSE,3.9,TRUE,Personal Testing,14.8,61.44,FALSE,Highly Skeptical
Llama,scientific_facts,87.56,115,FALSE,TRUE,TRUE,Vague,55-64,Professional,Medium,Intermediate,Medium,Low,FALSE,FALSE,7.6,TRUE,Personal Testing,32.5,97.2,FALSE,Skeptical
Llama,current_events,59.58,295,FALSE,TRUE,TRUE,Vague,25-34,High School,High,Advanced,Low,None,FALSE,FALSE,4.9,TRUE,Academic Paper,19,43.43,TRUE,Highly Skeptical
Claude,scientific_facts,89.02,339,FALSE,FALSE,FALSE,Very Specific,35-44,PhD,Expert,First Time,High,Medium,FALSE,FALSE,8.7,FALSE,,0,80.9,TRUE,Blind Trust
GPT-4,medical_advice,67.63,357,FALSE,TRUE,TRUE,Moderate,55-64,PhD,Medium,Advanced,Critical,None,FALSE,TRUE,4.1,TRUE,Asked Colleague,42.8,81.96,FALSE,Highly Skeptical
ChatGPT-3.5,opinion_based,42.75,792,TRUE,TRUE,TRUE,Very Specific,25-34,PhD,Expert,Intermediate,High,Low,TRUE,FALSE,5.6,TRUE,Cross-referenced Multiple AIs,14.7,24.32,FALSE,Skeptical
Llama,recipe_cooking,89.01,193,FALSE,FALSE,TRUE,Specific,18-24,High School,High,Expert,Medium,Low,TRUE,TRUE,10,TRUE,Asked Colleague,11.6,74.75,FALSE,Moderate Trust
GPT-4,financial_advice,61.16,108,FALSE,TRUE,TRUE,Moderate,25-34,High School,Medium,Advanced,Medium,None,FALSE,FALSE,5.5,FALSE,,0,68.37,TRUE,Skeptical
ChatGPT-3.5,math_calculation,98,275,FALSE,FALSE,TRUE,Very Specific,18-24,PhD,Low,First Time,Low,High,TRUE,FALSE,10,FALSE,,0,96.56,TRUE,Blind Trust
Mistral,financial_advice,46.99,108,TRUE,FALSE,FALSE,Vague,55-64,Professional,Medium,First Time,Medium,Medium,,FALSE,7.5,TRUE,Checked Official Source,36.9,33.92,FALSE,Skeptical
ChatGPT-3.5,general_knowledge,77.24,642,TRUE,TRUE,TRUE,Moderate,25-34,Bachelors,Expert,Beginner,Critical,High,TRUE,TRUE,9.8,FALSE,,0,66.48,FALSE,Blind Trust
Mistral,legal_advice,61.57,780,TRUE,TRUE,FALSE,Specific,25-34,Masters,Medium,Intermediate,Critical,Medium,FALSE,FALSE,4.9,TRUE,Checked Official Source,18.2,75.93,FALSE,Highly Skeptical
GPT-4,math_calculation,96.55,723,FALSE,FALSE,FALSE,Vague,55-64,Bachelors,Expert,Advanced,Low,Low,TRUE,FALSE,10,TRUE,Asked Expert,19.6,94.05,TRUE,Moderate Trust
Gemini,legal_advice,47.62,224,TRUE,TRUE,TRUE,Vague,65+,Masters,Low,Intermediate,Low,High,,TRUE,6.8,TRUE,Consulted Documentation,2.8,33.5,FALSE,Skeptical
Claude,technical_coding,78.05,118,TRUE,FALSE,TRUE,Moderate,35-44,Masters,Medium,Beginner,Medium,High,,FALSE,10,FALSE,,0,85.32,TRUE,Blind Trust
Llama,recipe_cooking,80.1,492,TRUE,TRUE,FALSE,Moderate,35-44,High School,Expert,Intermediate,Medium,None,FALSE,FALSE,7.9,FALSE,,0,69.2,TRUE,Moderate Trust
ChatGPT-3.5,legal_advice,47.8,320,TRUE,FALSE,FALSE,Vague,45-54,Masters,Expert,Expert,Medium,None,,FALSE,6.2,TRUE,Asked Colleague,7.2,37.55,FALSE,Skeptical
Claude,scientific_facts,70.42,539,FALSE,TRUE,FALSE,Vague,18-24,PhD,Low,Intermediate,Low,Medium,TRUE,FALSE,9.6,TRUE,Checked Official Source,33.8,63.12,FALSE,Moderate Trust
GPT-4,math_calculation,87.81,50,TRUE,TRUE,FALSE,Specific,45-54,Masters,Low,Intermediate,Medium,Low,FALSE,FALSE,8.5,FALSE,,0,98.22,TRUE,Blind Trust
Claude,scientific_facts,73.05,721,FALSE,FALSE,TRUE,Very Specific,45-54,Masters,Expert,Intermediate,Low,High,FALSE,TRUE,7.2,TRUE,Personal Testing,12.2,82.04,TRUE,Skeptical
GPT-4,general_knowledge,70.61,220,TRUE,TRUE,FALSE,Very Specific,45-54,Masters,Expert,Intermediate,Low,High,FALSE,FALSE,6.3,FALSE,,0,69.78,TRUE,Moderate Trust
Gemini,financial_advice,45.34,231,TRUE,FALSE,TRUE,Moderate,18-24,Professional,Medium,Expert,High,Medium,TRUE,TRUE,7.1,TRUE,Checked Official Source,11.1,44.75,FALSE,Skeptical
Claude,medical_advice,50.15,755,TRUE,TRUE,FALSE,Very Specific,65+,Masters,Expert,Expert,Medium,Medium,,FALSE,5.5,TRUE,Checked Official Source,9,48.53,TRUE,Skeptical
GPT-4,factual_historical,84.98,132,FALSE,TRUE,FALSE,Very Specific,45-54,PhD,Medium,First Time,Low,None,TRUE,TRUE,10,TRUE,Consulted Documentation,43.1,87.49,TRUE,Moderate Trust
GPT-4,medical_advice,66.04,238,FALSE,TRUE,TRUE,Vague,65+,Bachelors,Medium,First Time,Low,High,TRUE,TRUE,9.4,FALSE,,0,65.23,FALSE,Blind Trust
GPT-4,scientific_facts,81.35,674,TRUE,FALSE,TRUE,Very Specific,45-54,PhD,Medium,First Time,Medium,High,TRUE,FALSE,10,FALSE,,0,67.71,FALSE,Blind Trust
Mistral,technical_coding,76.91,730,FALSE,TRUE,FALSE,Very Specific,18-24,High School,Expert,First Time,Medium,High,TRUE,TRUE,8.8,FALSE,,0,90.58,TRUE,Blind Trust
Claude,creative_writing,78.03,589,TRUE,FALSE,TRUE,Specific,35-44,Professional,Expert,Advanced,High,Low,TRUE,TRUE,10,TRUE,Personal Testing,14.5,89.62,TRUE,Moderate Trust
GPT-4,general_knowledge,71.79,708,FALSE,TRUE,FALSE,Moderate,45-54,PhD,Low,First Time,Medium,None,TRUE,FALSE,8.5,TRUE,Asked Colleague,36.7,63.14,FALSE,Moderate Trust
GPT-4,general_knowledge,80.48,317,FALSE,TRUE,TRUE,Vague,18-24,PhD,High,Intermediate,High,High,,FALSE,6.9,FALSE,,0,73.52,TRUE,Moderate Trust
ChatGPT-3.5,legal_advice,55.68,756,TRUE,TRUE,FALSE,Vague,55-64,Professional,Low,First Time,High,Low,TRUE,TRUE,8.1,TRUE,Consulted Documentation,33,69.88,TRUE,Moderate Trust
GPT-4,math_calculation,96.49,602,TRUE,FALSE,TRUE,Moderate,18-24,PhD,Expert,First Time,High,Low,TRUE,TRUE,10,TRUE,Asked Colleague,17,100,TRUE,Moderate Trust
Llama,opinion_based,43.96,591,TRUE,TRUE,FALSE,Very Specific,45-54,PhD,Medium,Advanced,High,High,TRUE,FALSE,6.1,TRUE,Academic Paper,35,27.98,FALSE,Skeptical
Gemini,financial_advice,49.18,689,FALSE,TRUE,FALSE,Specific,45-54,PhD,High,Beginner,High,Low,TRUE,TRUE,6.1,TRUE,Academic Paper,10.4,47.24,TRUE,Skeptical
GPT-4,factual_historical,93.81,760,FALSE,TRUE,FALSE,Very Specific,55-64,PhD,Low,Intermediate,Low,Low,TRUE,TRUE,10,FALSE,,0,100,TRUE,Blind Trust
Llama,medical_advice,70.67,566,TRUE,TRUE,TRUE,Vague,35-44,PhD,Low,Advanced,High,Medium,TRUE,FALSE,8.4,TRUE,Consulted Documentation,23.1,83.72,TRUE,Moderate Trust
Mistral,recipe_cooking,82.39,62,TRUE,FALSE,FALSE,Specific,65+,High School,Low,Intermediate,Critical,None,FALSE,FALSE,7.7,TRUE,Consulted Documentation,34.1,95.29,TRUE,Skeptical
Llama,recipe_cooking,75.22,132,TRUE,TRUE,TRUE,Vague,55-64,PhD,Medium,Expert,Critical,None,FALSE,TRUE,6.1,TRUE,Academic Paper,34.3,87.09,FALSE,Skeptical
Gemini,general_knowledge,76.5,755,TRUE,FALSE,TRUE,Specific,35-44,Professional,Medium,Advanced,Critical,High,,FALSE,7.8,FALSE,,0,69.89,TRUE,Moderate Trust
Mistral,opinion_based,58.06,532,TRUE,FALSE,FALSE,Very Specific,65+,Professional,Expert,Expert,Medium,None,FALSE,TRUE,5.4,TRUE,Cross-referenced Multiple AIs,2.3,62.24,TRUE,Skeptical
ChatGPT-3.5,scientific_facts,85.31,481,TRUE,FALSE,TRUE,Specific,65+,High School,High,Expert,High,Low,,FALSE,8.8,TRUE,Asked Colleague,39.2,92.09,TRUE,Moderate Trust
GPT-4,creative_writing,72.65,92,FALSE,FALSE,FALSE,Vague,45-54,Professional,Low,Expert,High,Medium,TRUE,FALSE,8.6,TRUE,Cross-referenced Multiple AIs,44.4,81.65,TRUE,Moderate Trust
GPT-4,current_events,77.8,762,TRUE,TRUE,FALSE,Very Specific,18-24,Bachelors,Expert,Expert,Low,High,,TRUE,8.8,TRUE,Checked Official Source,43.1,80.59,TRUE,Moderate Trust
Llama,current_events,61.88,673,FALSE,TRUE,TRUE,Specific,35-44,PhD,Medium,Advanced,Medium,Medium,TRUE,TRUE,8.5,TRUE,Academic Paper,35.2,41.11,FALSE,Moderate Trust
GPT-4,factual_historical,74.22,259,TRUE,FALSE,TRUE,Very Specific,45-54,Masters,Low,First Time,High,Low,TRUE,TRUE,9.9,TRUE,Cross-referenced Multiple AIs,16.7,77.62,FALSE,Moderate Trust
Gemini,math_calculation,87.35,429,TRUE,FALSE,FALSE,Specific,25-34,PhD,Expert,First Time,Low,Medium,,FALSE,10,TRUE,Personal Testing,2.6,79.13,FALSE,Moderate Trust
Llama,factual_historical,76.96,321,TRUE,FALSE,FALSE,Very Specific,18-24,High School,High,Intermediate,High,None,,FALSE,8.3,TRUE,Asked Expert,45,91.3,TRUE,Moderate Trust
