ai_model_name,query_category,ai_confidence_percentage,response_character_count,has_cited_sources,contains_hedging_words,includes_disclaimer,answer_detail_level,respondent_age_bracket,education_level,digital_literacy_score,ai_familiarity_level,decision_importance,urgency_level,belief_alignment_status,subject_matter_expertise,trust_score_out_of_10,performed_fact_check,fact_check_method_used,verification_duration_mins,answer_accuracy_percentage,trust_calibration_valid,user_skepticism_category
Gemini,recipe_cooking,87.86,543,TRUE,TRUE,TRUE,Moderate,25-34,Bachelors,Low,First Time,High,Low,FALSE,FALSE,9.7,TRUE,Asked Colleague,28.2,73.33,FALSE,Moderate Trust
Llama,factual_historical,86.02,665,TRUE,FALSE,TRUE,Moderate,18-24,Bachelors,Expert,First Time,Low,None,FALSE,FALSE,9.6,FALSE,,0,100,TRUE,Blind Trust
Claude,factual_historical,83.02,770,FALSE,TRUE,FALSE,Specific,65+,Bachelors,Expert,Intermediate,Low,Low,TRUE,FALSE,9.5,TRUE,Personal Testing,33.1,90.06,TRUE,Moderate Trust
Mistral,recipe_cooking,81.54,670,TRUE,TRUE,FALSE,Specific,35-44,High School,Expert,Intermediate,Medium,Medium,FALSE,FALSE,8.6,FALSE,,0,81.68,TRUE,Blind Trust
Mistral,technical_coding,79.5,349,TRUE,FALSE,FALSE,Vague,25-34,PhD,Expert,Intermediate,Critical,Low,,FALSE,8.2,TRUE,Google Search,30.2,82.55,TRUE,Moderate Trust
Claude,recipe_cooking,82.68,693,FALSE,FALSE,FALSE,Moderate,25-34,High School,Expert,Advanced,High,Medium,TRUE,FALSE,8.9,FALSE,,0,84.81,TRUE,Blind Trust
Llama,factual_historical,80.75,730,FALSE,FALSE,FALSE,Vague,65+,PhD,Medium,First Time,Medium,None,TRUE,TRUE,10,TRUE,Checked Official Source,35.7,76.72,FALSE,Moderate Trust
Mistral,scientific_facts,87.95,727,FALSE,FALSE,FALSE,Very Specific,25-34,High School,Low,Beginner,Medium,Medium,,TRUE,10,FALSE,,0,76.69,FALSE,Blind Trust
ChatGPT-3.5,current_events,68.62,165,FALSE,FALSE,TRUE,Vague,18-24,Masters,Low,Expert,Critical,None,FALSE,FALSE,5.4,TRUE,Checked Official Source,28.2,47.13,TRUE,Skeptical
ChatGPT-3.5,scientific_facts,72.29,574,TRUE,TRUE,TRUE,Moderate,45-54,Professional,High,First Time,Medium,None,FALSE,TRUE,7.3,TRUE,Personal Testing,40.3,83.14,TRUE,Skeptical
Mistral,financial_advice,45.52,196,FALSE,FALSE,FALSE,Vague,65+,Masters,Medium,First Time,Medium,Medium,TRUE,TRUE,7.5,FALSE,,0,54.94,FALSE,Moderate Trust
Llama,legal_advice,62.63,407,FALSE,TRUE,TRUE,Specific,35-44,Masters,Medium,Expert,Critical,None,,TRUE,5.6,TRUE,Asked Colleague,42.6,74.26,TRUE,Skeptical
GPT-4,financial_advice,52.61,792,TRUE,FALSE,FALSE,Very Specific,25-34,Professional,High,Intermediate,Low,High,TRUE,TRUE,8.4,TRUE,Personal Testing,27.8,48.5,FALSE,Moderate Trust
Llama,legal_advice,57.59,113,TRUE,FALSE,TRUE,Very Specific,45-54,Professional,High,Expert,Low,Low,FALSE,TRUE,6.9,TRUE,Personal Testing,19.5,61.27,TRUE,Skeptical
Llama,general_knowledge,80.17,708,TRUE,TRUE,FALSE,Vague,25-34,Professional,Medium,Expert,Low,Low,TRUE,FALSE,10,TRUE,Asked Expert,29.1,85.51,TRUE,Moderate Trust
Llama,math_calculation,96.55,637,TRUE,TRUE,TRUE,Specific,25-34,Bachelors,Expert,Beginner,High,High,,FALSE,10,TRUE,Asked Expert,17.6,81.59,TRUE,Moderate Trust
Gemini,math_calculation,94.07,532,FALSE,FALSE,TRUE,Moderate,45-54,High School,Expert,First Time,Medium,None,TRUE,TRUE,10,TRUE,Asked Colleague,5.3,96.87,TRUE,Moderate Trust
Mistral,factual_historical,93.4,470,TRUE,FALSE,TRUE,Very Specific,35-44,High School,Expert,Intermediate,Medium,High,TRUE,FALSE,10,FALSE,,0,78.67,FALSE,Blind Trust
Llama,legal_advice,51.71,711,FALSE,TRUE,FALSE,Vague,18-24,Masters,Expert,Advanced,Low,Low,FALSE,FALSE,3.9,TRUE,Academic Paper,18.2,56.54,TRUE,Highly Skeptical
Gemini,general_knowledge,84.92,734,TRUE,TRUE,FALSE,Vague,55-64,High School,Expert,Advanced,High,High,FALSE,FALSE,8.2,TRUE,Asked Colleague,5.5,77.47,TRUE,Moderate Trust
ChatGPT-3.5,factual_historical,82.15,572,FALSE,FALSE,TRUE,Vague,35-44,PhD,Medium,Intermediate,Low,High,,FALSE,9.6,FALSE,,0,69.43,FALSE,Blind Trust
ChatGPT-3.5,factual_historical,92.84,434,FALSE,FALSE,TRUE,Specific,55-64,PhD,Expert,Beginner,Medium,High,FALSE,TRUE,9.1,FALSE,,0,92.26,TRUE,Blind Trust
GPT-4,medical_advice,56.18,60,FALSE,TRUE,FALSE,Specific,65+,Bachelors,High,First Time,Low,Low,FALSE,TRUE,5.7,TRUE,Consulted Documentation,41.6,70.05,TRUE,Skeptical
ChatGPT-3.5,recipe_cooking,84.48,122,FALSE,TRUE,TRUE,Very Specific,65+,Masters,Low,Expert,High,None,,FALSE,8,TRUE,Consulted Documentation,40.5,83.16,TRUE,Moderate Trust
Gemini,financial_advice,48.41,798,FALSE,TRUE,TRUE,Vague,55-64,Masters,High,Intermediate,High,Medium,FALSE,FALSE,2.3,TRUE,Asked Expert,17.9,51.08,FALSE,Highly Skeptical
Llama,opinion_based,43.78,737,TRUE,FALSE,TRUE,Moderate,35-44,PhD,Low,Advanced,Low,Medium,,TRUE,6.2,TRUE,Personal Testing,33.8,33.06,FALSE,Skeptical
Mistral,medical_advice,57.46,280,TRUE,FALSE,FALSE,Vague,18-24,High School,Expert,First Time,Low,None,,TRUE,8,FALSE,,0,54.9,FALSE,Blind Trust
Claude,financial_advice,60.59,89,TRUE,TRUE,FALSE,Very Specific,25-34,PhD,Low,First Time,High,Medium,,TRUE,7.5,TRUE,Asked Colleague,23.1,57.08,TRUE,Skeptical
Mistral,factual_historical,70.26,498,TRUE,FALSE,FALSE,Very Specific,25-34,High School,Expert,Expert,High,Medium,FALSE,TRUE,6.6,FALSE,,0,62.8,TRUE,Moderate Trust
Gemini,opinion_based,45.7,226,FALSE,FALSE,FALSE,Very Specific,35-44,PhD,Medium,Intermediate,Medium,High,,TRUE,5,FALSE,,0,46.48,TRUE,Skeptical
Claude,creative_writing,68.52,125,FALSE,TRUE,TRUE,Moderate,45-54,PhD,Medium,Beginner,Medium,High,TRUE,FALSE,8.7,FALSE,,0,70.77,TRUE,Blind Trust
Gemini,general_knowledge,69.95,295,FALSE,FALSE,TRUE,Moderate,55-64,Masters,Low,Beginner,High,Medium,TRUE,FALSE,9.4,FALSE,,0,72.39,FALSE,Blind Trust
Gemini,technical_coding,85.42,428,FALSE,FALSE,FALSE,Specific,35-44,Masters,High,Expert,Low,Low,,FALSE,9,FALSE,,0,90.23,TRUE,Blind Trust
GPT-4,current_events,63.93,520,FALSE,TRUE,FALSE,Very Specific,18-24,PhD,Medium,Expert,High,High,TRUE,TRUE,7.8,FALSE,,0,59.11,TRUE,Moderate Trust
Llama,recipe_cooking,75.16,92,TRUE,FALSE,TRUE,Vague,35-44,Professional,High,Expert,Low,None,TRUE,TRUE,10,FALSE,,0,67.08,FALSE,Blind Trust
Claude,math_calculation,91.31,560,TRUE,TRUE,TRUE,Moderate,18-24,Masters,Medium,Intermediate,High,Medium,,FALSE,8.9,FALSE,,0,92.59,TRUE,Blind Trust
Claude,medical_advice,66.6,338,FALSE,TRUE,FALSE,Moderate,35-44,High School,Low,Beginner,High,Low,,TRUE,7.2,TRUE,Asked Expert,7.8,72.19,TRUE,Skeptical
GPT-4,legal_advice,55.34,415,FALSE,FALSE,TRUE,Vague,65+,Masters,Expert,First Time,Medium,Medium,TRUE,TRUE,8.2,TRUE,Personal Testing,17.2,50.52,FALSE,Moderate Trust
Mistral,current_events,73.37,467,FALSE,TRUE,TRUE,Vague,55-64,PhD,Low,Beginner,Medium,High,,FALSE,8.4,FALSE,,0,51.63,FALSE,Blind Trust
Claude,medical_advice,70.46,275,FALSE,FALSE,TRUE,Specific,45-54,Bachelors,Expert,First Time,Medium,High,TRUE,TRUE,9.4,FALSE,,0,82.93,TRUE,Blind Trust
ChatGPT-3.5,legal_advice,67.25,438,FALSE,FALSE,FALSE,Vague,25-34,Professional,High,Advanced,Medium,High,FALSE,FALSE,5.8,TRUE,Checked Official Source,2.5,70.84,TRUE,Skeptical
Gemini,medical_advice,66.23,128,TRUE,TRUE,FALSE,Moderate,35-44,Bachelors,Medium,Expert,Medium,None,,TRUE,8.4,TRUE,Cross-referenced Multiple AIs,2,59.4,FALSE,Moderate Trust
Claude,financial_advice,61.47,369,TRUE,TRUE,TRUE,Very Specific,18-24,PhD,Low,Beginner,High,Low,,FALSE,7.1,TRUE,Consulted Documentation,41.1,66.86,TRUE,Skeptical
Gemini,general_knowledge,83.36,360,TRUE,TRUE,FALSE,Moderate,55-64,PhD,Medium,First Time,High,Low,FALSE,TRUE,8.9,TRUE,Cross-referenced Multiple AIs,20.4,81.05,TRUE,Moderate Trust
GPT-4,factual_historical,82.66,104,FALSE,FALSE,FALSE,Vague,45-54,PhD,Medium,Beginner,Medium,Low,FALSE,TRUE,8.8,FALSE,,0,76.72,TRUE,Blind Trust
Mistral,opinion_based,59.41,663,TRUE,FALSE,FALSE,Vague,18-24,High School,Expert,Advanced,Medium,None,TRUE,FALSE,8.4,FALSE,,0,47.7,FALSE,Blind Trust
Claude,general_knowledge,65.22,528,TRUE,FALSE,TRUE,Vague,18-24,High School,Expert,Advanced,Medium,None,,TRUE,7.4,TRUE,Checked Official Source,34.3,50.29,FALSE,Skeptical
ChatGPT-3.5,recipe_cooking,85.62,635,FALSE,TRUE,FALSE,Specific,65+,Bachelors,Low,Intermediate,Medium,High,,TRUE,8.5,TRUE,Consulted Documentation,13.7,97.17,TRUE,Moderate Trust
Llama,math_calculation,94.67,643,TRUE,TRUE,TRUE,Very Specific,45-54,PhD,High,Beginner,High,Medium,FALSE,FALSE,8.4,FALSE,,0,79.83,TRUE,Blind Trust
Gemini,factual_historical,90.32,147,TRUE,TRUE,FALSE,Vague,25-34,High School,High,Beginner,High,High,,FALSE,10,FALSE,,0,100,TRUE,Blind Trust
Claude,creative_writing,70.68,636,TRUE,FALSE,FALSE,Very Specific,65+,Bachelors,Expert,Expert,Medium,Medium,TRUE,TRUE,9.2,TRUE,Personal Testing,35.8,79.58,TRUE,Moderate Trust
Gemini,recipe_cooking,75.47,439,TRUE,TRUE,TRUE,Specific,18-24,Professional,High,Intermediate,Medium,None,,TRUE,7.9,TRUE,Asked Colleague,13.8,68.48,TRUE,Skeptical
Claude,factual_historical,84.5,143,FALSE,FALSE,TRUE,Very Specific,65+,Masters,High,Beginner,High,High,FALSE,TRUE,8.1,FALSE,,0,79.62,TRUE,Blind Trust
ChatGPT-3.5,creative_writing,77.41,251,FALSE,TRUE,TRUE,Moderate,65+,Professional,High,Beginner,Critical,High,TRUE,TRUE,8.6,FALSE,,0,75.14,TRUE,Blind Trust
Mistral,technical_coding,77.74,275,TRUE,TRUE,FALSE,Vague,65+,PhD,High,Expert,High,High,TRUE,TRUE,8.9,TRUE,Google Search,9.2,70.65,TRUE,Moderate Trust
Llama,recipe_cooking,78.39,517,TRUE,TRUE,FALSE,Moderate,65+,High School,Medium,Expert,Medium,None,FALSE,TRUE,7.4,FALSE,,0,83.84,TRUE,Moderate Trust
ChatGPT-3.5,factual_historical,78.07,80,TRUE,FALSE,TRUE,Very Specific,35-44,Professional,Low,Beginner,Critical,Low,,FALSE,8.4,TRUE,Cross-referenced Multiple AIs,5.1,90.32,TRUE,Moderate Trust
ChatGPT-3.5,general_knowledge,81.73,482,FALSE,FALSE,TRUE,Very Specific,45-54,Bachelors,Low,Intermediate,Low,High,,FALSE,9.2,TRUE,Asked Colleague,2.6,85.3,TRUE,Moderate Trust
Llama,factual_historical,70.8,562,FALSE,TRUE,TRUE,Very Specific,18-24,PhD,Medium,Advanced,High,High,,TRUE,6.5,TRUE,Google Search,44.8,71.22,TRUE,Skeptical
ChatGPT-3.5,technical_coding,79.85,752,FALSE,FALSE,TRUE,Specific,45-54,PhD,Low,Intermediate,Critical,Medium,,FALSE,7.9,TRUE,Consulted Documentation,42.3,86.66,TRUE,Skeptical
ChatGPT-3.5,math_calculation,86.87,359,TRUE,FALSE,FALSE,Vague,25-34,High School,Low,Expert,High,High,FALSE,TRUE,8.6,FALSE,,0,73.4,TRUE,Blind Trust
GPT-4,financial_advice,54.43,420,TRUE,TRUE,FALSE,Vague,18-24,PhD,High,Beginner,Low,Medium,FALSE,FALSE,6.1,TRUE,Consulted Documentation,16,56.42,TRUE,Skeptical
Llama,math_calculation,92.18,311,FALSE,TRUE,TRUE,Specific,55-64,High School,Medium,Beginner,Critical,None,,FALSE,8.6,TRUE,Checked Official Source,39.8,100,TRUE,Moderate Trust
Mistral,technical_coding,81.1,654,FALSE,TRUE,TRUE,Specific,55-64,High School,Expert,First Time,High,Low,FALSE,TRUE,7,TRUE,Asked Colleague,28.3,75.68,TRUE,Skeptical
ChatGPT-3.5,scientific_facts,79.45,185,TRUE,FALSE,FALSE,Very Specific,55-64,Professional,Expert,Intermediate,Medium,High,FALSE,FALSE,8.2,TRUE,Google Search,28,93.81,TRUE,Moderate Trust
Llama,current_events,65.46,653,FALSE,TRUE,FALSE,Specific,18-24,Professional,Medium,Advanced,Critical,High,,FALSE,5.6,TRUE,Asked Expert,21.5,50.08,TRUE,Skeptical
Claude,creative_writing,72.95,787,TRUE,FALSE,FALSE,Vague,18-24,High School,High,First Time,Low,Medium,,TRUE,9.3,FALSE,,0,66.62,FALSE,Blind Trust
Mistral,scientific_facts,89.23,759,TRUE,TRUE,FALSE,Moderate,65+,Bachelors,High,Advanced,Medium,High,TRUE,FALSE,10,TRUE,Asked Colleague,13.4,81.62,TRUE,Moderate Trust
Gemini,general_knowledge,68.96,196,FALSE,TRUE,TRUE,Moderate,25-34,Masters,High,Beginner,Medium,Low,TRUE,TRUE,8.4,FALSE,,0,68.98,TRUE,Blind Trust
Gemini,opinion_based,56.78,280,FALSE,TRUE,FALSE,Very Specific,45-54,PhD,High,Beginner,Critical,Low,FALSE,FALSE,4.3,TRUE,Asked Colleague,38.6,59.34,TRUE,Highly Skeptical
ChatGPT-3.5,legal_advice,59.88,183,FALSE,TRUE,FALSE,Specific,18-24,High School,Expert,First Time,Medium,High,FALSE,FALSE,6.2,FALSE,,0,58.57,TRUE,Moderate Trust
Claude,current_events,66.16,150,TRUE,TRUE,FALSE,Very Specific,18-24,Bachelors,Medium,First Time,Medium,High,,FALSE,8.6,FALSE,,0,51.68,FALSE,Blind Trust
ChatGPT-3.5,general_knowledge,77.59,423,FALSE,FALSE,TRUE,Very Specific,35-44,Professional,Medium,Advanced,Critical,High,FALSE,FALSE,6.8,FALSE,,0,67.45,TRUE,Moderate Trust
Claude,creative_writing,68.15,331,TRUE,TRUE,FALSE,Moderate,65+,High School,Expert,Beginner,High,Low,TRUE,TRUE,9.4,FALSE,,0,73.62,FALSE,Blind Trust
Mistral,technical_coding,81.57,594,TRUE,TRUE,TRUE,Very Specific,25-34,Professional,High,First Time,High,Low,FALSE,FALSE,7.6,TRUE,Asked Colleague,33.1,91.32,TRUE,Skeptical
Gemini,scientific_facts,70.12,520,TRUE,TRUE,FALSE,Specific,18-24,Professional,Expert,Beginner,High,None,TRUE,TRUE,10,TRUE,Asked Expert,38.2,79.2,FALSE,Moderate Trust
Claude,opinion_based,52.19,691,TRUE,TRUE,FALSE,Specific,18-24,PhD,Low,Advanced,Critical,Low,,TRUE,4.7,TRUE,Checked Official Source,36.7,29.04,TRUE,Highly Skeptical
Gemini,factual_historical,91.23,176,TRUE,FALSE,FALSE,Moderate,55-64,PhD,Expert,First Time,High,None,TRUE,FALSE,10,TRUE,Checked Official Source,22.3,98.31,TRUE,Moderate Trust
Mistral,medical_advice,70.53,409,TRUE,TRUE,FALSE,Moderate,55-64,Professional,High,First Time,High,Medium,FALSE,FALSE,7.2,TRUE,Cross-referenced Multiple AIs,13.6,81.51,TRUE,Skeptical
Gemini,recipe_cooking,84.23,542,FALSE,TRUE,TRUE,Very Specific,18-24,High School,Medium,Expert,High,Low,TRUE,TRUE,9.9,FALSE,,0,93.29,TRUE,Blind Trust
Gemini,legal_advice,47.73,189,FALSE,FALSE,FALSE,Vague,25-34,Masters,Low,Beginner,Critical,High,TRUE,TRUE,6.3,TRUE,Asked Colleague,30.2,60.58,TRUE,Skeptical
